[2019-03-12 16:36:05,618[history_data] INFO: code=000506.SZ
[2019-03-12 16:36:05,962[history_data] INFO: code=000507.SZ
[2019-03-12 16:36:06,281[history_data] INFO: code=000509.SZ
[2019-03-12 16:36:06,616[history_data] INFO: code=000510.SZ
[2019-03-12 16:36:07,283[history_data] INFO: code=000513.SZ
[2019-03-12 16:36:10,624[history_data] INFO: code=000514.SZ
[2019-03-12 16:36:11,018[history_data] INFO: code=000516.SZ
[2019-03-12 16:36:11,341[history_data] INFO: code=000517.SZ
[2019-03-12 16:36:11,680[history_data] INFO: code=000518.SZ
[2019-03-12 16:36:12,029[history_data] INFO: code=000519.SZ
[2019-03-12 16:36:12,361[history_data] INFO: code=000520.SZ
[2019-03-12 16:36:12,707[history_data] INFO: code=000521.SZ
[2019-03-12 16:36:13,083[history_data] INFO: code=000523.SZ
[2019-03-12 16:36:13,417[history_data] INFO: code=000524.SZ
[2019-03-12 16:36:14,041[history_data] INFO: code=000525.SZ
[2019-03-12 16:36:14,382[history_data] INFO: code=000526.SZ
[2019-03-12 16:36:14,800[history_data] INFO: code=000528.SZ
[2019-03-12 16:36:15,137[history_data] INFO: code=000529.SZ
[2019-03-12 16:36:15,475[history_data] INFO: code=000530.SZ
[2019-03-12 16:36:15,790[history_data] INFO: code=000531.SZ
[2019-03-12 16:36:16,108[history_data] INFO: code=000532.SZ
[2019-03-12 16:36:16,471[history_data] INFO: code=000533.SZ
[2019-03-12 16:36:16,798[history_data] INFO: code=000534.SZ
[2019-03-12 16:36:17,128[history_data] INFO: code=000536.SZ
[2019-03-12 16:36:17,467[history_data] INFO: code=000537.SZ
[2019-03-12 16:36:17,800[history_data] INFO: code=000538.SZ
[2019-03-12 16:36:18,158[history_data] INFO: code=000539.SZ
[2019-03-12 16:36:18,509[history_data] INFO: code=000540.SZ
[2019-03-12 16:36:18,816[history_data] INFO: code=000541.SZ
[2019-03-12 16:36:19,145[history_data] INFO: code=000543.SZ
[2019-03-12 16:36:19,447[history_data] INFO: code=000544.SZ
[2019-03-12 16:36:19,774[history_data] INFO: code=000545.SZ
[2019-03-12 16:36:20,076[history_data] INFO: code=000546.SZ
[2019-03-12 16:36:20,424[history_data] INFO: code=000547.SZ
[2019-03-12 16:36:20,747[history_data] INFO: code=000548.SZ
[2019-03-12 16:36:21,056[history_data] INFO: code=000550.SZ
[2019-03-12 16:36:21,382[history_data] INFO: code=000551.SZ
[2019-03-12 16:36:21,985[history_data] INFO: code=000552.SZ
[2019-03-12 16:36:22,344[history_data] INFO: code=000553.SZ
[2019-03-12 16:36:23,192[history_data] INFO: code=000554.SZ
[2019-03-12 16:36:23,545[history_data] INFO: code=000555.SZ
[2019-03-12 16:36:23,872[history_data] INFO: code=000557.SZ
[2019-03-12 16:36:24,194[history_data] INFO: code=000558.SZ
[2019-03-12 16:36:24,587[history_data] INFO: code=000559.SZ
[2019-03-12 16:36:24,919[history_data] INFO: code=000560.SZ
[2019-03-12 16:36:25,239[history_data] INFO: code=000561.SZ
[2019-03-12 16:36:28,945[history_data] INFO: code=000563.SZ
[2019-03-12 16:36:29,274[history_data] INFO: code=000564.SZ
[2019-03-12 16:36:29,884[history_data] INFO: code=000565.SZ
[2019-03-12 16:36:30,199[history_data] INFO: code=000566.SZ
[2019-03-12 16:36:30,515[history_data] INFO: code=000567.SZ
[2019-03-12 16:36:30,835[history_data] INFO: code=000568.SZ
[2019-03-12 16:36:31,170[history_data] INFO: code=000570.SZ
[2019-03-12 16:36:31,497[history_data] INFO: code=000571.SZ
[2019-03-12 16:36:31,821[history_data] INFO: code=000572.SZ
[2019-03-12 16:36:32,462[history_data] INFO: code=000573.SZ
[2019-03-12 16:36:32,822[history_data] INFO: code=000576.SZ
[2019-03-12 16:36:33,456[history_data] INFO: code=000581.SZ
[2019-03-12 16:36:34,169[history_data] INFO: code=000582.SZ
[2019-03-12 16:36:34,501[history_data] INFO: code=000584.SZ
[2019-03-12 16:36:34,839[history_data] INFO: code=000585.SZ
[2019-03-12 16:36:35,162[history_data] INFO: code=000586.SZ
[2019-03-12 16:36:35,585[history_data] INFO: code=000587.SZ
[2019-03-12 16:36:35,901[history_data] INFO: code=000589.SZ
[2019-03-12 16:36:36,212[history_data] INFO: code=000590.SZ
[2019-03-12 16:36:36,534[history_data] INFO: code=000591.SZ
[2019-03-12 16:36:36,857[history_data] INFO: code=000592.SZ
[2019-03-12 16:36:37,503[history_data] INFO: code=000593.SZ
[2019-03-12 16:36:38,473[history_data] INFO: code=000595.SZ
[2019-03-12 16:36:40,052[history_data] INFO: code=000596.SZ
[2019-03-12 16:36:40,784[history_data] INFO: code=000597.SZ
[2019-03-12 16:36:41,093[history_data] INFO: code=000598.SZ
[2019-03-12 16:36:41,444[history_data] INFO: code=000599.SZ
[2019-03-12 16:36:42,189[history_data] INFO: code=000600.SZ
[2019-03-12 16:36:43,073[history_data] INFO: code=000601.SZ
[2019-03-12 16:36:44,242[history_data] INFO: code=000603.SZ
[2019-03-12 16:36:44,656[history_data] INFO: code=000605.SZ
[2019-03-12 16:36:45,465[history_data] INFO: code=000606.SZ
[2019-03-12 16:36:55,689[history_data] INFO: code=000607.SZ
[2019-03-12 16:36:56,377[history_data] INFO: code=000608.SZ
[2019-03-12 16:36:59,964[history_data] INFO: code=000609.SZ
[2019-03-12 16:37:17,765[history_data] INFO: code=000610.SZ
[2019-03-12 16:37:18,570[history_data] INFO: code=000611.SZ
[2019-03-12 16:37:19,476[history_data] INFO: code=000612.SZ
[2019-03-12 16:37:30,565[history_data] INFO: code=000613.SZ
[2019-03-12 16:37:32,083[history_data] INFO: code=000615.SZ
[2019-03-12 16:37:33,463[history_data] INFO: code=000616.SZ
[2019-03-12 16:37:34,817[history_data] INFO: code=000617.SZ
[2019-03-12 16:37:35,172[history_data] INFO: code=000619.SZ
[2019-03-12 16:37:36,314[history_data] INFO: code=000620.SZ
[2019-03-12 16:37:38,012[history_data] INFO: code=000622.SZ
[2019-03-12 16:37:38,923[history_data] INFO: code=000623.SZ
[2019-03-12 16:37:39,698[history_data] INFO: code=000625.SZ
[2019-03-12 16:37:40,615[history_data] INFO: code=000626.SZ
[2019-03-12 16:37:42,294[history_data] INFO: code=000627.SZ
[2019-03-12 16:37:43,239[history_data] INFO: code=000628.SZ
[2019-03-12 16:37:44,612[history_data] INFO: code=000629.SZ
[2019-03-12 16:37:45,999[history_data] INFO: code=000630.SZ
[2019-03-12 16:37:46,843[history_data] INFO: code=000631.SZ
[2019-03-12 16:37:49,526[history_data] INFO: code=000632.SZ
[2019-03-12 16:37:50,473[history_data] INFO: code=000633.SZ
[2019-03-12 16:37:50,941[history_data] INFO: code=000635.SZ
[2019-03-12 16:37:53,868[history_data] INFO: code=000636.SZ
[2019-03-12 16:37:56,409[history_data] INFO: code=000637.SZ
[2019-03-12 16:37:57,336[history_data] INFO: code=000638.SZ
[2019-03-12 16:37:58,250[history_data] INFO: code=000639.SZ
[2019-03-12 16:37:58,583[history_data] INFO: code=000650.SZ
[2019-03-12 16:37:58,936[history_data] INFO: code=000651.SZ
[2019-03-12 16:37:59,335[history_data] INFO: code=000652.SZ
[2019-03-12 16:37:59,721[history_data] INFO: code=000655.SZ
[2019-03-12 16:38:00,034[history_data] INFO: code=000656.SZ
[2019-03-12 16:38:00,387[history_data] INFO: code=000657.SZ
[2019-03-12 16:38:00,814[history_data] INFO: code=000659.SZ
[2019-03-12 16:38:01,251[history_data] INFO: code=000661.SZ
[2019-03-12 16:38:01,714[history_data] INFO: code=000662.SZ
[2019-03-12 16:38:05,077[history_data] INFO: code=000663.SZ
[2019-03-12 16:38:05,427[history_data] INFO: code=000665.SZ
[2019-03-12 16:38:05,815[history_data] INFO: code=000666.SZ
[2019-03-12 16:38:06,189[history_data] INFO: code=000667.SZ
[2019-03-12 16:38:06,563[history_data] INFO: code=000668.SZ
[2019-03-12 16:38:06,895[history_data] INFO: code=000669.SZ
[2019-03-12 16:38:07,222[history_data] INFO: code=000670.SZ
[2019-03-12 16:38:07,551[history_data] INFO: code=000671.SZ
[2019-03-12 16:38:08,220[history_data] INFO: code=000672.SZ
[2019-03-12 16:38:08,577[history_data] INFO: code=000673.SZ
[2019-03-12 16:38:08,992[history_data] INFO: code=000676.SZ
[2019-03-12 16:38:09,401[history_data] INFO: code=000677.SZ
[2019-03-12 16:38:09,771[history_data] INFO: code=000678.SZ
[2019-03-12 16:38:10,090[history_data] INFO: code=000679.SZ
[2019-03-12 16:38:10,409[history_data] INFO: code=000680.SZ
[2019-03-12 16:38:10,735[history_data] INFO: code=000681.SZ
[2019-03-12 16:38:11,099[history_data] INFO: code=000682.SZ
[2019-03-12 16:38:11,426[history_data] INFO: code=000683.SZ
[2019-03-12 16:38:11,758[history_data] INFO: code=000685.SZ
[2019-03-12 16:38:12,098[history_data] INFO: code=000686.SZ
[2019-03-12 16:38:12,440[history_data] INFO: code=000687.SZ
[2019-03-12 16:38:13,029[history_data] INFO: code=000688.SZ
[2019-03-12 16:38:13,347[history_data] INFO: code=000690.SZ
[2019-03-12 16:38:13,650[history_data] INFO: code=000691.SZ
[2019-03-12 16:38:14,299[history_data] INFO: code=000692.SZ
[2019-03-12 16:38:14,810[history_data] INFO: code=000695.SZ
[2019-03-12 16:38:15,140[history_data] INFO: code=000697.SZ
[2019-03-12 16:38:15,469[history_data] INFO: code=000698.SZ
[2019-03-12 16:38:15,815[history_data] INFO: code=000700.SZ
[2019-03-12 16:38:16,155[history_data] INFO: code=000701.SZ
[2019-03-12 16:38:16,523[history_data] INFO: code=000702.SZ
[2019-03-12 16:38:17,136[history_data] INFO: code=000703.SZ
[2019-03-12 16:38:17,470[history_data] INFO: code=000705.SZ
[2019-03-12 16:38:18,260[history_data] INFO: code=000707.SZ
[2019-03-12 16:38:18,588[history_data] INFO: code=000708.SZ
[2019-03-12 16:38:18,930[history_data] INFO: code=000709.SZ
[2019-03-12 16:38:19,233[history_data] INFO: code=000710.SZ
[2019-03-12 16:38:19,581[history_data] INFO: code=000711.SZ
[2019-03-12 16:38:19,963[history_data] INFO: code=000712.SZ
[2019-03-12 16:38:20,558[history_data] INFO: code=000713.SZ
[2019-03-12 16:38:20,952[history_data] INFO: code=000715.SZ
[2019-03-12 16:38:21,284[history_data] INFO: code=000716.SZ
[2019-03-12 16:38:21,635[history_data] INFO: code=000717.SZ
[2019-03-12 16:38:22,478[history_data] INFO: code=000718.SZ
[2019-03-12 16:38:22,817[history_data] INFO: code=000719.SZ
[2019-03-12 16:38:26,406[history_data] INFO: code=000720.SZ
[2019-03-12 16:38:26,742[history_data] INFO: code=000721.SZ
[2019-03-12 16:38:27,055[history_data] INFO: code=000722.SZ
[2019-03-12 16:38:27,402[history_data] INFO: code=000723.SZ
[2019-03-12 16:38:27,741[history_data] INFO: code=000725.SZ
[2019-03-12 16:38:28,054[history_data] INFO: code=000726.SZ
[2019-03-12 16:38:28,368[history_data] INFO: code=000727.SZ
[2019-03-12 16:38:28,673[history_data] INFO: code=000728.SZ
[2019-03-12 16:38:29,011[history_data] INFO: code=000729.SZ
[2019-03-12 16:38:29,351[history_data] INFO: code=000731.SZ
[2019-03-12 16:38:29,674[history_data] INFO: code=000732.SZ
[2019-03-12 16:38:30,020[history_data] INFO: code=000733.SZ
[2019-03-12 16:38:30,393[history_data] INFO: code=000735.SZ
[2019-03-12 16:38:30,831[history_data] INFO: code=000736.SZ
